animal,neuron_id,region6,region9,region_raw,allen_region,allen_acronym,AP_mm,ML_mm,DV_mm,ccf_ap_um,ccf_dv_um,ccf_ml_um,paxinos_region,ei,classifiable,pct_inh_animal
day1,122,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.192566783,4.024929759,6500,5025,5893,Nucleus reuniens (Re),unclassified,False,1.6
day1,123,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.200554599,3.979628602,6500,4980,5901,Nucleus reuniens (Re),unclassified,False,1.6
day1,124,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.1,0.208542415,3.934327446,6500,4934,5909,Submedial thalamic nucleus (Sub),unclassified,False,1.6
day1,125,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.1,0.208542415,3.934327446,6500,4934,5909,Submedial thalamic nucleus (Sub),unclassified,False,1.6
day1,126,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.1,0.208542415,3.934327446,6500,4934,5909,Submedial thalamic nucleus (Sub),unclassified,False,1.6
night1,1,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.02,0.314058853,4.222867614,6420,5223,6014,Nucleus reuniens (Re),unclassified,False,3.2
night1,2,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.02,0.314058853,4.222867614,6420,5223,6014,Nucleus reuniens (Re),unclassified,False,3.2
night1,3,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.02,0.318052761,4.200217036,6420,5200,6018,Nucleus reuniens (Re),unclassified,False,3.2
night1,4,PVH,PVH,paraventricular hypothalamus,Paraventricular hypothalamic nucleus,PVH,-1.02,0.202229426,4.857083807,6420,5857,5902,Paraventricular hypothalamic nucleus (Pa),unclassified,False,3.2
night1,5,PVH,PVH,paraventricular hypothalamus,Paraventricular hypothalamic nucleus,PVH,-1.02,0.202229426,4.857083807,6420,5857,5902,Paraventricular hypothalamic nucleus (Pa),unclassified,False,3.2
night1,6,PVH,PVH,paraventricular hypothalamus,Nucleus of reuniens,RE,-1.02,0.270125864,4.472023976,6420,5472,5970,Nucleus reuniens (Re),unclassified,False,3.2
night1,7,PVH,PVH,paraventricular hypothalamus,Nucleus of reuniens,RE,-1.02,0.262138048,4.517325132,6420,5517,5962,Nucleus reuniens (Re),unclassified,False,3.2
night1,8,AH,Anterior HT,anterior hypothalamus,Hypothalamus,HY,-1.02,0.154302529,5.128890747,6420,6129,5854,Hypothalamus,unclassified,False,3.2
