animal,neuron_id,fw_ms,pp_ms,usable,cluster,ei
night3,31,0.3024509803921568,1.0,True,3.0,I
night3,32,0.27209821428571423,0.95,True,3.0,I
night3,33,0.34031862745098035,1.1,True,2.0,E
night4,1,0.34857954545454534,1.0,True,1.0,E
night4,2,0.36171875000000003,0.85,True,3.0,E
night4,3,0.3573717948717949,0.95,True,1.0,E
night4,4,0.40999999999999975,1.0,True,0.0,E
night4,5,0.3321428571428573,0.95,True,1.0,E
night4,6,0.375,0.9,True,3.0,E
night4,7,0.2933779761904763,0.95,True,4.0,E
night4,8,0.4200396825396826,0.9,True,0.0,E
night4,9,0.36328125,0.8,True,3.0,E
night4,10,0.3651041666666668,0.75,True,3.0,E
night4,11,0.3416666666666668,1.0,True,1.0,E
night4,12,0.3012499999999999,0.95,True,4.0,E
night4,13,0.32265625000000003,0.9,True,1.0,E
night4,14,0.36000000000000015,0.9,True,3.0,E
night4,15,0.38556547619047593,1.05,True,0.0,E
night4,16,0.1875,0.6,True,2.0,I
night4,17,0.27132352941176485,1.0,True,4.0,E
night4,18,0.29488636363636367,0.95,True,4.0,E
night4,19,0.36562500000000003,0.85,True,3.0,E
night4,20,0.4125,0.8,True,3.0,E
night4,21,0.3366071428571427,0.9,True,1.0,E
night4,22,0.3508928571428573,0.95,True,1.0,E
night4,23,0.3045454545454547,0.9,True,4.0,E
night4,24,0.38125000000000003,0.95,True,0.0,E
night4,25,0.3154761904761905,0.95,True,1.0,E
night4,26,0.33125,0.85,True,3.0,E
night4,27,0.34192307692307683,1.1,True,1.0,E
night4,28,0.2935496794871792,0.55,True,2.0,I
night4,29,0.327403846153846,0.9,True,1.0,E
night4,30,0.31062499999999993,1.05,True,1.0,E
night4,31,0.2461850649350648,0.95,True,4.0,E
night4,32,0.365909090909091,0.8,True,3.0,E
night4,33,0.41517857142857156,0.95,True,0.0,E
night4,34,0.35290178571428577,0.8,True,3.0,E
night4,35,0.3056261343012704,0.55,True,2.0,I
night5,1,0.21416666666666692,0.75,True,1.0,I
night5,2,0.19388888888888867,0.6,True,1.0,I
night5,3,0.2571874999999999,0.75,True,0.0,E
night5,4,0.35312499999999997,0.85,True,2.0,E
night5,5,0.25909090909090904,1.3,True,3.0,E
night5,6,0.25666666666666665,0.7,True,0.0,E
night5,7,0.2693277310924369,0.7,True,0.0,E
night5,8,0.2291666666666668,0.65,True,1.0,I
night5,9,0.2640350877192983,0.75,True,0.0,E
night5,10,0.2907563025210084,0.7,True,0.0,E
night5,11,0.2,0.75,True,1.0,I
night5,12,0.2050730519480517,0.55,True,1.0,I
night5,13,0.1948815485362097,0.65,True,1.0,I
night5,14,0.23604166666666693,0.8,True,0.0,E
night5,15,0.19753787878787854,0.65,True,1.0,I
night5,16,0.22019704433497544,0.65,True,1.0,I
night5,17,0.2619212962962962,0.85,True,0.0,E
night5,18,0.29507575757575777,0.8,True,0.0,E
night5,19,0.2537587412587413,0.7,True,0.0,E
night5,20,0.2625,0.75,True,0.0,E
night5,21,0.20206766917293206,0.55,True,1.0,I
night5,22,0.21944444444444428,0.55,True,1.0,I
night5,23,0.2484375,0.6,True,0.0,E
