animal,condition,neuron_id,region,node_strength,clustering_coefficient,local_efficiency,hub_score,z_score,ei,spikes
day4,ongoing,12,VMH,-2.328497,0.666666666666667,0.29461405476639,0.0320148456088762,-0.175661693712184,E,34170
day4,ongoing,13,DMH,3.3642,0.0,0.0,0.0003748760560681,1.17291817509929,E,4804
day4,ongoing,14,DMH,-1.086316,0.466666666666667,0.386937549174664,-0.0121704676791848,0.118606610049654,E,26800
day4,ongoing,15,DMH,-1.480622,0.0,0.0,-1.2923804390702099e-18,0.0251969074514698,I,4773
day4,ongoing,16,DMH,-2.115668,1.0,0.278242333333333,-0.0630900505549657,-0.125243253226193,I,15000
day4,ongoing,17,DMH,-2.210369,0.666666666666667,0.356369627209013,0.0046612117004095,-0.147677586575801,I,24140
day4,ongoing,18,DMH,-3.246594,0.833333333333333,0.284303961308196,-0.0700805342768168,-0.393155639343965,E,13184
day4,ongoing,19,DMH,7.417428,0.3,0.391242860866835,-0.0495457582647666,2.13311361225376,I,12854
day4,ongoing,20,DMH,2.272205,0.533333333333333,0.473483535497726,-0.081809287324879,0.914228405760996,I,21310
day4,ongoing,21,DMH,-7.134258,0.266666666666667,0.369830404246277,-0.0322845406431045,-1.3141295480384,E,52622
day4,ongoing,22,DMH,-7.493422,0.466666666666667,0.263205905490053,-0.0258198943398158,-1.39921423461171,I,22142
day4,ongoing,23,DMH,-4.352331,0.333333333333333,0.424313517742825,-0.138662583551609,-0.655100840080978,E,37216
day4,ongoing,24,DMH,0.0,0.0,0.0,-1.2923804390702099e-18,0.375951044290191,E,6901
day4,ongoing,25,DMH,0.0,0.0,0.0,-1.2923804390702099e-18,0.375951044290191,E,5157
day4,ongoing,26,DMH,-4.971653,0.761904761904762,0.434114033134735,0.0176398408039047,-0.801816040540805,E,35621
day4,ongoing,27,DMH,-0.754007,0.0,0.0,0.0035868501813423,0.197329441710091,E,5802
day4,ongoing,28,DMH,-6.550423,0.416666666666667,0.387453200664347,-0.21350058866209,-1.17582109288831,E,37098
day4,ongoing,29,DMH,-3.721967,0.5,0.254753635527538,0.0017379240212884,-0.505769828712645,E,25159
day4,ongoing,30,DMH,-1.854971,1.0,0.369051333333333,0.0098789171826913,-0.063485052138107,E,18595
day4,ongoing,31,DMH,-5.059401,0.75,0.455690943571635,0.0092421312625657,-0.822603232679868,E,43790
day4,ongoing,32,DMH,-0.679722,0.0,0.0,-0.0600325875459331,0.214927296567755,E,17629
